xflr5 v6.61

Plane name :        AeroSail 30m 3deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.713818   0.013642   0.007245   0.020887   0.000000   0.000000   0.139726   0.000000   0.000000   10.0000     0.8159
   -9.900     0.000  -0.704942   0.013304   0.007219   0.020523   0.000000   0.000000   0.137674   0.000000   0.000000   10.0000     0.8142
   -9.800     0.000  -0.696061   0.012970   0.007193   0.020163   0.000000   0.000000   0.135618   0.000000   0.000000   10.0000     0.8124
   -9.700     0.000  -0.687173   0.012639   0.007167   0.019806   0.000000   0.000000   0.133560   0.000000   0.000000   10.0000     0.8105
   -9.600     0.000  -0.678258   0.012312   0.007140   0.019452   0.000000   0.000000   0.131489   0.000000   0.000000   10.0000     0.8085
   -9.500     0.000  -0.669307   0.011988   0.007111   0.019099   0.000000   0.000000   0.129400   0.000000   0.000000   10.0000     0.8063
   -9.400     0.000  -0.660350   0.011668   0.007083   0.018751   0.000000   0.000000   0.127309   0.000000   0.000000   10.0000     0.8041
   -9.300     0.000  -0.651371   0.011352   0.007055   0.018407   0.000000   0.000000   0.125208   0.000000   0.000000   10.0000     0.8018
   -9.200     0.000  -0.642381   0.011040   0.007026   0.018066   0.000000   0.000000   0.123102   0.000000   0.000000   10.0000     0.7994
   -9.100     0.000  -0.633354   0.010731   0.006998   0.017729   0.000000   0.000000   0.120980   0.000000   0.000000   10.0000     0.7969
   -9.000     0.000  -0.624247   0.010425   0.006971   0.017396   0.000000   0.000000   0.118823   0.000000   0.000000   10.0000     0.7940
   -8.900     0.000  -0.615138   0.010124   0.006946   0.017070   0.000000   0.000000   0.116668   0.000000   0.000000   10.0000     0.7910
   -8.800     0.000  -0.606028   0.009828   0.006921   0.016749   0.000000   0.000000   0.114512   0.000000   0.000000   10.0000     0.7880
   -8.700     0.000  -0.596901   0.009535   0.006898   0.016433   0.000000   0.000000   0.112350   0.000000  -0.000000   10.0000     0.7849
   -8.600     0.000  -0.587763   0.009247   0.006874   0.016121   0.000000   0.000000   0.110183   0.000000   0.000000   10.0000     0.7817
