xflr5 v6.61

Plane name :        AeroSail 30m 10deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.242545   0.001580   0.006665   0.008245   0.000000   0.000000  -0.039239   0.000000   0.000000   10.0000    -0.9066
   -9.900     0.000  -0.232945   0.001459   0.006636   0.008095   0.000000   0.000000  -0.041644   0.000000   0.000000   10.0000    -0.9857
   -9.800     0.000  -0.223342   0.001342   0.006608   0.007950   0.000000  -0.000000  -0.044049   0.000000  -0.000000   10.0000    -1.0696
   -9.700     0.000  -0.213735   0.001230   0.006580   0.007810   0.000000   0.000000  -0.046455   0.000000   0.000000   10.0000    -1.1640
   -9.600     0.000  -0.204115   0.001122   0.006553   0.007675   0.000000   0.000000  -0.048864   0.000000   0.000000   10.0000    -1.2852
   -9.500     0.000  -0.194496   0.001020   0.006525   0.007545   0.000000   0.000000  -0.051272   0.000000   0.000000   10.0000    -1.4078
   -9.400     0.000  -0.184877   0.000922   0.006498   0.007420   0.000000   0.000000  -0.053681   0.000000  -0.000000   10.0000    -1.5330
   -9.300     0.000  -0.175257   0.000830   0.006471   0.007301   0.000000   0.000000  -0.056089   0.000000  -0.000000   10.0000    -1.6695
   -9.200     0.000  -0.165637   0.000742   0.006444   0.007187   0.000000  -0.000000  -0.058498   0.000000  -0.000000   10.0000    -1.8260
   -9.100     0.000  -0.156016   0.000659   0.006419   0.007079   0.000000  -0.000000  -0.060905   0.000000   0.000000   10.0000    -2.0574
   -9.000     0.000  -0.146396   0.000581   0.006395   0.006976   0.000000  -0.000000  -0.063311   0.000000   0.000000   10.0000    -2.3737
   -8.900     0.000  -0.136774   0.000508   0.006370   0.006879   0.000000   0.000000  -0.065718   0.000000   0.000000   10.0000    -2.7030
   -8.800     0.000  -0.127152   0.000440   0.006346   0.006787   0.000000  -0.000000  -0.068125   0.000000  -0.000000   10.0000    -3.0400
   -8.700     0.000  -0.117526   0.000377   0.006323   0.006700   0.000000   0.000000  -0.070532   0.000000   0.000000   10.0000    -3.4108
   -8.600     0.000  -0.107889   0.000318   0.006303   0.006621   0.000000   0.000000  -0.072943   0.000000   0.000000   10.0000    -3.8899
   -8.500     0.000  -0.098227   0.000265   0.006288   0.006553   0.000000   0.000000  -0.075360   0.000000   0.000000   10.0000    -4.6264
   -8.400     0.000  -0.088566   0.000216   0.006274   0.006490   0.000000   0.000000  -0.077777   0.000000   0.000000   10.0000    -5.5605
   -8.300     0.000  -0.078908   0.000172   0.006259   0.006431   0.000000   0.000000  -0.080192   0.000000   0.000000   10.0000    -6.7779
   -8.200     0.000  -0.069253   0.000134   0.006244   0.006378   0.000000   0.000000  -0.082606   0.000000   0.000000   10.0000    -8.4490
   -8.100     0.000  -0.059610   0.000100   0.006229   0.006329   0.000000   0.000000  -0.085014   0.000000  -0.000000   10.0000   -11.9832
   -8.000     0.000  -0.050063   0.000071   0.006211   0.006283   0.000000   0.000000  -0.087379   0.000000   0.000000   10.0000   -29.6585
   -7.900     0.000  -0.040555   0.000048   0.006193   0.006241   0.000000   0.000000  -0.089726   0.000000   0.000000   10.0000   -53.6775
   -7.800     0.000  -0.031046   0.000029   0.006175   0.006203   0.000000   0.000000  -0.092073   0.000000   0.000000   10.0000   -77.7011
   -7.700     0.000  -0.021537   0.000014   0.006156   0.006171   0.000000   0.000000  -0.094420   0.000000   0.000000   10.0000  -101.7259
   -7.600     0.000  -0.012027   0.000005   0.006138   0.006143   0.000000  -0.000000  -0.096767   0.000000  -0.000000   10.0000  -125.7503
   -7.500     0.000  -0.002508   0.000000   0.006120   0.006121   0.000000  -0.000000  -0.099118   0.000000  -0.000000   10.0000  -144.2317
   -7.400     0.000   0.007095   0.000001   0.006109   0.006110   0.000000  -0.000000  -0.101504   0.000000   0.000000   10.0000  -117.3648
   -7.300     0.000   0.016694   0.000006   0.006098   0.006104   0.000000  -0.000000  -0.103888   0.000000   0.000000   10.0000   -90.5263
   -7.200     0.000   0.026294   0.000016   0.006087   0.006103   0.000000   0.000000  -0.106273   0.000000  -0.000000   10.0000   -63.6876
   -7.100     0.000   0.035893   0.000031   0.006076   0.006107   0.000000   0.000000  -0.108657   0.000000   0.000000   10.0000   -36.8489
   -7.000     0.000   0.045492   0.000050   0.006065   0.006116   0.000000  -0.000000  -0.111042   0.000000   0.000000   10.0000   -10.0102
