xflr5 v6.61

Plane name :        AeroSail 30m 13deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.033881   0.000034   0.006612   0.006645   0.000000  -0.000000  -0.118931   0.000000  -0.000000   10.0000    -8.4512
   -9.900     0.000  -0.024308   0.000018   0.006585   0.006603   0.000000   0.000000  -0.121325   0.000000   0.000000   10.0000    -0.8602
   -9.800     0.000  -0.014734   0.000007   0.006559   0.006566   0.000000   0.000000  -0.123720   0.000000   0.000000   10.0000     5.4641
   -9.700     0.000  -0.005160   0.000001   0.006533   0.006534   0.000000   0.000000  -0.126114   0.000000   0.000000   10.0000    12.4001
   -9.600     0.000   0.004411   0.000000   0.006506   0.006506   0.000000  -0.000000  -0.128508   0.000000   0.000000   10.0000    35.2956
   -9.500     0.000   0.013983   0.000004   0.006478   0.006482   0.000000   0.000000  -0.130901   0.000000  -0.000000   10.0000    38.3117
   -9.400     0.000   0.023590   0.000012   0.006462   0.006475   0.000000   0.000000  -0.133305   0.000000  -0.000000   10.0000    34.0877
   -9.300     0.000   0.033205   0.000026   0.006449   0.006475   0.000000  -0.000000  -0.135711   0.000000   0.000000   10.0000    28.8603
   -9.200     0.000   0.042820   0.000044   0.006436   0.006480   0.000000  -0.000000  -0.138117   0.000000  -0.000000   10.0000    23.9032
   -9.100     0.000   0.052437   0.000068   0.006423   0.006490   0.000000  -0.000000  -0.140524   0.000000   0.000000   10.0000    19.0464
   -9.000     0.000   0.062056   0.000096   0.006410   0.006506   0.000000  -0.000000  -0.142931   0.000000   0.000000   10.0000    14.2523
   -8.900     0.000   0.071663   0.000129   0.006398   0.006527   0.000000   0.000000  -0.145334   0.000000  -0.000000   10.0000    10.5266
   -8.800     0.000   0.081242   0.000167   0.006388   0.006555   0.000000  -0.000000  -0.147724   0.000000  -0.000000   10.0000     9.2878
   -8.700     0.000   0.090820   0.000210   0.006379   0.006588   0.000000  -0.000000  -0.150113   0.000000   0.000000   10.0000     8.4118
   -8.600     0.000   0.100396   0.000257   0.006370   0.006627   0.000000  -0.000000  -0.152502   0.000000  -0.000000   10.0000     7.6965
   -8.500     0.000   0.109974   0.000309   0.006361   0.006670   0.000000   0.000000  -0.154892   0.000000  -0.000000   10.0000     6.9903
   -8.400     0.000   0.119551   0.000367   0.006352   0.006719   0.000000  -0.000000  -0.157281   0.000000   0.000000   10.0000     6.3548
   -8.300     0.000   0.129245   0.000429   0.006328   0.006757   0.000000  -0.000000  -0.159715   0.000000   0.000000   10.0000     5.9426
