xflr5 v6.61

Plane name :        AeroSail 30m 2deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.782818   0.016354   0.007202   0.023556   0.000000   0.000000   0.166048   0.000000   0.000000   10.0000     0.8923
   -9.900     0.000  -0.772738   0.015946   0.007159   0.023105   0.000000   0.000000   0.163411   0.000000   0.000000   10.0000     0.8898
   -9.800     0.000  -0.762655   0.015544   0.007119   0.022663   0.000000   0.000000   0.160774   0.000000   0.000000   10.0000     0.8871
   -9.700     0.000  -0.752664   0.015150   0.007086   0.022236   0.000000   0.000000   0.158186   0.000000   0.000000   10.0000     0.8846
   -9.600     0.000  -0.742761   0.014765   0.007066   0.021830   0.000000   0.000000   0.155649   0.000000  -0.000000   10.0000     0.8820
   -9.500     0.000  -0.732863   0.014386   0.007049   0.021435   0.000000   0.000000   0.153117  -0.000000  -0.000000   10.0000     0.8795
   -9.400     0.000  -0.723088   0.014017   0.007033   0.021050   0.000000   0.000000   0.150646   0.000000   0.000000   10.0000     0.8771
   -9.300     0.000  -0.713463   0.013657   0.007018   0.020675   0.000000   0.000000   0.148247   0.000000   0.000000   10.0000     0.8750
   -9.200     0.000  -0.704062   0.013308   0.007005   0.020313   0.000000   0.000000   0.145957   0.000000  -0.000000   10.0000     0.8732
   -9.100     0.000  -0.695036   0.012972   0.006994   0.019965   0.000000   0.000000   0.143846   0.000000  -0.000000   10.0000     0.8720
   -9.000     0.000  -0.686495   0.012650   0.006987   0.019637   0.000000   0.000000   0.141969   0.000000  -0.000000   10.0000     0.8715
   -8.900     0.000  -0.677943   0.012333   0.006980   0.019314   0.000000  -0.000000   0.140089   0.000000  -0.000000   10.0000     0.8711
   -8.800     0.000  -0.669346   0.012020   0.006971   0.018991   0.000000   0.000000   0.138188   0.000000   0.000000   10.0000     0.8705
   -8.700     0.000  -0.660727   0.011710   0.006960   0.018671   0.000000   0.000000   0.136274   0.000000   0.000000   10.0000     0.8699
   -8.600     0.000  -0.652052   0.011403   0.006947   0.018350   0.000000   0.000000   0.134332   0.000000   0.000000   10.0000     0.8691
   -8.500     0.000  -0.643240   0.011096   0.006930   0.018026   0.000000   0.000000   0.132324  -0.000000  -0.000000   10.0000     0.8680
   -8.400     0.000  -0.634415   0.010793   0.006911   0.017704   0.000000   0.000000   0.130308   0.000000   0.000000   10.0000     0.8668
   -8.300     0.000  -0.625577   0.010493   0.006893   0.017386   0.000000   0.000000   0.128286   0.000000   0.000000   10.0000     0.8656
   -8.200     0.000  -0.616709   0.010197   0.006876   0.017073   0.000000   0.000000   0.126251   0.000000  -0.000000   10.0000     0.8642
   -8.100     0.000  -0.607799   0.009904   0.006861   0.016765   0.000000   0.000000   0.124197  -0.000000  -0.000000   10.0000     0.8628
   -8.000     0.000  -0.598791   0.009614   0.006848   0.016462   0.000000   0.000000   0.122100   0.000000   0.000000   10.0000     0.8611
   -7.900     0.000  -0.589760   0.009324   0.006838   0.016163   0.000000   0.000000   0.119987   0.000000   0.000000   10.0000     0.8592
   -7.800     0.000  -0.580729   0.009042   0.006831   0.015873   0.000000   0.000000   0.117880   0.000000   0.000000   10.0000     0.8573
   -7.700     0.000  -0.571693   0.008764   0.006824   0.015588   0.000000   0.000000   0.115771   0.000000   0.000000   10.0000     0.8553
   -7.600     0.000  -0.562662   0.008491   0.006816   0.015308   0.000000   0.000000   0.113665   0.000000   0.000000   10.0000     0.8533
   -7.500     0.000  -0.553646   0.008223   0.006807   0.015030   0.000000   0.000000   0.111565   0.000000   0.000000   10.0000     0.8512
   -7.400     0.000  -0.544655   0.007959   0.006796   0.014755   0.000000   0.000000   0.109475  -0.000000  -0.000000   10.0000     0.8490
   -7.300     0.000  -0.535657   0.007699   0.006786   0.014485   0.000000   0.000000   0.107383   0.000000   0.000000   10.0000     0.8468
   -7.200     0.000  -0.526619   0.007445   0.006775   0.014220   0.000000   0.000000   0.105278   0.000000   0.000000   10.0000     0.8444
   -7.100     0.000  -0.517626   0.007195   0.006769   0.013964   0.000000   0.000000   0.103190   0.000000   0.000000   10.0000     0.8421
   -7.000     0.000  -0.508632   0.006949   0.006765   0.013714   0.000000   0.000000   0.101101   0.000000   0.000000   10.0000     0.8396
   -6.900     0.000  -0.499606   0.006706   0.006767   0.013473   0.000000   0.000000   0.098998   0.000000  -0.000000   10.0000     0.8369
   -6.800     0.000  -0.490587   0.006468   0.006773   0.013241   0.000000   0.000000   0.096900   0.000000   0.000000   10.0000     0.8341
   -6.700     0.000  -0.481621   0.006236   0.006782   0.013017   0.000000   0.000000   0.094825   0.000000   0.000000   10.0000     0.8314
   -6.600     0.000  -0.472675   0.006008   0.006792   0.012800   0.000000   0.000000   0.092760   0.000000   0.000000   10.0000     0.8287
   -6.500     0.000  -0.463764   0.005785   0.006805   0.012590   0.000000   0.000000   0.090710   0.000000  -0.000000   10.0000     0.8259
   -6.400     0.000  -0.454985   0.005567   0.006828   0.012395   0.000000   0.000000   0.088718   0.000000   0.000000   10.0000     0.8233
   -6.300     0.000  -0.446426   0.005357   0.006864   0.012222   0.000000   0.000000   0.086824   0.000000   0.000000   10.0000     0.8211
   -6.200     0.000  -0.437835   0.005151   0.006899   0.012051   0.000000   0.000000   0.084916   0.000000  -0.000000   10.0000     0.8187
   -6.100     0.000  -0.429219   0.004949   0.006933   0.011882   0.000000   0.000000   0.082997   0.000000  -0.000000   10.0000     0.8162
   -6.000     0.000  -0.420557   0.004749   0.006964   0.011713   0.000000   0.000000   0.081056   0.000000   0.000000   10.0000     0.8134
   -5.900     0.000  -0.411818   0.004552   0.006991   0.011543   0.000000   0.000000   0.079080   0.000000   0.000000   10.0000     0.8102
   -5.800     0.000  -0.402876   0.004357   0.007007   0.011364   0.000000   0.000000   0.077010   0.000000   0.000000   10.0000     0.8060
   -5.700     0.000  -0.393892   0.004165   0.007020   0.011185   0.000000   0.000000   0.074921   0.000000   0.000000   10.0000     0.8016
   -5.600     0.000  -0.384893   0.003977   0.007033   0.011010   0.000000   0.000000   0.072824   0.000000   0.000000   10.0000     0.7970
   -5.500     0.000  -0.375885   0.003793   0.007046   0.010838   0.000000   0.000000   0.070723   0.000000   0.000000   10.0000     0.7923
   -5.400     0.000  -0.366841   0.003612   0.007059   0.010671   0.000000   0.000000   0.068606   0.000000   0.000000   10.0000     0.7873
   -5.300     0.000  -0.357726   0.003435   0.007071   0.010506   0.000000   0.000000   0.066458   0.000000   0.000000   10.0000     0.7815
   -5.200     0.000  -0.348539   0.003262   0.007082   0.010344   0.000000   0.000000   0.064280   0.000000   0.000000   10.0000     0.7751
   -5.100     0.000  -0.339354   0.003093   0.007094   0.010187   0.000000   0.000000   0.062102   0.000000   0.000000   10.0000     0.7685
   -5.000     0.000  -0.330162   0.002928   0.007105   0.010033   0.000000   0.000000   0.059921   0.000000  -0.000000   10.0000     0.7614
   -4.900     0.000  -0.320968   0.002768   0.007114   0.009882   0.000000   0.000000   0.057739   0.000000   0.000000   10.0000     0.7541
   -4.800     0.000  -0.311767   0.002612   0.007122   0.009734   0.000000   0.000000   0.055554   0.000000   0.000000   10.0000     0.7464
   -4.700     0.000  -0.302549   0.002461   0.007124   0.009585   0.000000   0.000000   0.053362   0.000000   0.000000   10.0000     0.7375
   -4.600     0.000  -0.293324   0.002314   0.007125   0.009439   0.000000   0.000000   0.051167   0.000000   0.000000   10.0000     0.7279
   -4.500     0.000  -0.284099   0.002171   0.007127   0.009297   0.000000   0.000000   0.048971   0.000000   0.000000   10.0000     0.7182
   -4.400     0.000  -0.274868   0.002033   0.007128   0.009160   0.000000   0.000000   0.046773   0.000000   0.000000   10.0000     0.7082
   -4.300     0.000  -0.265627   0.001899   0.007129   0.009028   0.000000   0.000000   0.044571   0.000000   0.000000   10.0000     0.6973
   -4.200     0.000  -0.256358   0.001770   0.007129   0.008899   0.000000   0.000000   0.042357   0.000000  -0.000000   10.0000     0.6843
   -4.100     0.000  -0.247074   0.001644   0.007129   0.008774   0.000000   0.000000   0.040136   0.000000   0.000000   10.0000     0.6699
   -4.000     0.000  -0.237786   0.001524   0.007130   0.008653   0.000000   0.000000   0.037914   0.000000  -0.000000   10.0000     0.6552
   -3.900     0.000  -0.228495   0.001408   0.007130   0.008538   0.000000   0.000000   0.035690   0.000000   0.000000   10.0000     0.6401
   -3.800     0.000  -0.219196   0.001296   0.007131   0.008427   0.000000   0.000000   0.033464   0.000000   0.000000   10.0000     0.6242
   -3.700     0.000  -0.209880   0.001189   0.007133   0.008323   0.000000   0.000000   0.031229   0.000000   0.000000   10.0000     0.6063
   -3.600     0.000  -0.200522   0.001086   0.007138   0.008225   0.000000   0.000000   0.028978   0.000000   0.000000   10.0000     0.5830
   -3.500     0.000  -0.191164   0.000988   0.007144   0.008132   0.000000   0.000000   0.026727   0.000000   0.000000   10.0000     0.5593
   -3.400     0.000  -0.181806   0.000895   0.007149   0.008043   0.000000   0.000000   0.024476   0.000000   0.000000   10.0000     0.5352
   -3.300     0.000  -0.172449   0.000806   0.007153   0.007959   0.000000   0.000000   0.022225   0.000000  -0.000000   10.0000     0.5090
   -3.200     0.000  -0.163096   0.000722   0.007157   0.007879   0.000000   0.000000   0.019976   0.000000   0.000000   10.0000     0.4792
   -3.100     0.000  -0.153751   0.000642   0.007160   0.007802   0.000000   0.000000   0.017731   0.000000   0.000000   10.0000     0.4342
   -3.000     0.000  -0.144411   0.000567   0.007161   0.007728   0.000000   0.000000   0.015489   0.000000   0.000000   10.0000     0.3802
   -2.900     0.000  -0.135071   0.000497   0.007162   0.007659   0.000000   0.000000   0.013246   0.000000   0.000000   10.0000     0.3240
   -2.800     0.000  -0.125731   0.000432   0.007163   0.007595   0.000000   0.000000   0.011004   0.000000   0.000000   10.0000     0.2663
   -2.700     0.000  -0.116391   0.000371   0.007165   0.007535   0.000000   0.000000   0.008761   0.000000   0.000000   10.0000     0.2029
   -2.600     0.000  -0.107051   0.000314   0.007165   0.007480   0.000000   0.000000   0.006519   0.000000  -0.000000   10.0000     0.1205
   -2.500     0.000  -0.097712   0.000263   0.007165   0.007428   0.000000   0.000000   0.004278   0.000000   0.000000   10.0000    -0.0088
   -2.400     0.000  -0.088373   0.000216   0.007164   0.007380   0.000000   0.000000   0.002036   0.000000   0.000000   10.0000    -0.1665
   -2.300     0.000  -0.079032   0.000173   0.007164   0.007337   0.000000   0.000000  -0.000207   0.000000   0.000000   10.0000    -0.3505
   -2.200     0.000  -0.069690   0.000136   0.007164   0.007299   0.000000   0.000000  -0.002450   0.000000   0.000000   10.0000    -0.5921
   -2.100     0.000  -0.060339   0.000102   0.007164   0.007266   0.000000   0.000000  -0.004697   0.000000   0.000000   10.0000    -1.0485
   -2.000     0.000  -0.050931   0.000074   0.007165   0.007239   0.000000   0.000000  -0.006968   0.000000  -0.000000   10.0000    -3.1184
   -1.900     0.000  -0.041500   0.000050   0.007168   0.007217   0.000000   0.000000  -0.009250   0.000000   0.000000   10.0000    -5.8973
   -1.800     0.000  -0.032069   0.000030   0.007170   0.007201   0.000000   0.000000  -0.011531   0.000000   0.000000   10.0000    -8.6759
   -1.700     0.000  -0.022639   0.000016   0.007173   0.007188   0.000000   0.000000  -0.013812   0.000000   0.000000   10.0000   -11.4544
   -1.600     0.000  -0.013208   0.000006   0.007175   0.007181   0.000000   0.000000  -0.016093   0.000000   0.000000   10.0000   -14.2323
   -1.500     0.000  -0.003788   0.000001   0.007178   0.007178   0.000000  -0.000000  -0.018369   0.000000  -0.000000   10.0000   -16.2092
   -1.400     0.000   0.005561   0.000000   0.007183   0.007183   0.000000  -0.000000  -0.020613   0.000000  -0.000000   10.0000   -12.8647
   -1.300     0.000   0.014912   0.000004   0.007188   0.007193   0.000000  -0.000000  -0.022858   0.000000   0.000000   10.0000    -9.5220
   -1.200     0.000   0.024263   0.000013   0.007194   0.007207   0.000000  -0.000000  -0.025102   0.000000   0.000000   10.0000    -6.1787
   -1.100     0.000   0.033615   0.000027   0.007199   0.007226   0.000000  -0.000000  -0.027347   0.000000  -0.000000   10.0000    -2.8353
   -1.000     0.000   0.042966   0.000045   0.007205   0.007249   0.000000  -0.000000  -0.029591   0.000000   0.000000   10.0000     0.5082
   -0.900     0.000   0.052344   0.000068   0.007206   0.007274   0.000000  -0.000000  -0.031847   0.000000   0.000000   10.0000     2.3121
   -0.800     0.000   0.061748   0.000095   0.007204   0.007300   0.000000  -0.000000  -0.034115   0.000000   0.000000   10.0000     2.4235
   -0.700     0.000   0.071155   0.000128   0.007202   0.007329   0.000000  -0.000000  -0.036385   0.000000   0.000000   10.0000     2.3472
   -0.600     0.000   0.080563   0.000164   0.007199   0.007363   0.000000  -0.000000  -0.038655   0.000000  -0.000000   10.0000     2.2406
   -0.500     0.000   0.089970   0.000206   0.007196   0.007402   0.000000  -0.000000  -0.040925   0.000000   0.000000   10.0000     2.0915
   -0.400     0.000   0.099375   0.000252   0.007193   0.007446   0.000000  -0.000000  -0.043193   0.000000  -0.000000   10.0000     1.9503
   -0.300     0.000   0.108751   0.000303   0.007195   0.007499   0.000000  -0.000000  -0.045449   0.000000   0.000000   10.0000     1.8901
   -0.200     0.000   0.118119   0.000359   0.007198   0.007557   0.000000  -0.000000  -0.047700   0.000000   0.000000   10.0000     1.8503
   -0.100     0.000   0.127486   0.000419   0.007202   0.007621   0.000000  -0.000000  -0.049951   0.000000   0.000000   10.0000     1.8154
    0.000     0.000   0.136852   0.000484   0.007206   0.007690   0.000000  -0.000000  -0.052201   0.000000   0.000000   10.0000     1.7789
    0.100     0.000   0.146217   0.000553   0.007209   0.007763   0.000000  -0.000000  -0.054451   0.000000   0.000000   10.0000     1.7374
    0.200     0.000   0.155584   0.000628   0.007214   0.007841   0.000000  -0.000000  -0.056702   0.000000   0.000000   10.0000     1.6966
    0.300     0.000   0.164951   0.000706   0.007218   0.007924   0.000000  -0.000000  -0.058953   0.000000   0.000000   10.0000     1.6576
    0.400     0.000   0.174319   0.000790   0.007223   0.008012   0.000000  -0.000000  -0.061203   0.000000  -0.000000   10.0000     1.6204
    0.500     0.000   0.183686   0.000878   0.007227   0.008105   0.000000  -0.000000  -0.063454   0.000000  -0.000000   10.0000     1.5833
    0.600     0.000   0.193053   0.000971   0.007232   0.008203   0.000000  -0.000000  -0.065705  -0.000000   0.000000   10.0000     1.5462
    0.700     0.000   0.202425   0.001068   0.007237   0.008305   0.000000  -0.000000  -0.067957   0.000000   0.000000   10.0000     1.5112
    0.800     0.000   0.211817   0.001170   0.007241   0.008411   0.000000  -0.000000  -0.070218   0.000000   0.000000   10.0000     1.4876
    0.900     0.000   0.221215   0.001277   0.007245   0.008522   0.000000  -0.000000  -0.072482   0.000000   0.000000   10.0000     1.4678
    1.000     0.000   0.230616   0.001389   0.007249   0.008638   0.000000  -0.000000  -0.074747   0.000000   0.000000   10.0000     1.4494
    1.100     0.000   0.240019   0.001506   0.007253   0.008758   0.000000  -0.000000  -0.077014   0.000000   0.000000   10.0000     1.4325
    1.200     0.000   0.249423   0.001627   0.007257   0.008883   0.000000  -0.000000  -0.079280   0.000000   0.000000   10.0000     1.4158
    1.300     0.000   0.258780   0.001752   0.007262   0.009014   0.000000  -0.000000  -0.081526   0.000000   0.000000   10.0000     1.4009
    1.400     0.000   0.268097   0.001882   0.007267   0.009149   0.000000  -0.000000  -0.083755   0.000000  -0.000000   10.0000     1.3882
    1.500     0.000   0.277401   0.002016   0.007273   0.009290   0.000000  -0.000000  -0.085979   0.000000   0.000000   10.0000     1.3763
