xflr5 v6.61

Plane name :        AeroSail 30m 4deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.650275   0.011303   0.007198   0.018500   0.000000   0.000000   0.115958   0.000000  -0.000000   10.0000     0.7338
   -9.900     0.000  -0.641109   0.010986   0.007160   0.018146   0.000000   0.000000   0.113760   0.000000  -0.000000   10.0000     0.7299
   -9.800     0.000  -0.631935   0.010674   0.007124   0.017797   0.000000   0.000000   0.111560   0.000000   0.000000   10.0000     0.7260
   -9.700     0.000  -0.622751   0.010365   0.007088   0.017453   0.000000   0.000000   0.109355   0.000000   0.000000   10.0000     0.7220
   -9.600     0.000  -0.613549   0.010061   0.007054   0.017116   0.000000   0.000000   0.107144   0.000000   0.000000   10.0000     0.7179
   -9.500     0.000  -0.604306   0.009761   0.007025   0.016785   0.000000  -0.000000   0.104916   0.000000   0.000000   10.0000     0.7135
   -9.400     0.000  -0.595041   0.009465   0.006996   0.016461   0.000000   0.000000   0.102681   0.000000   0.000000   10.0000     0.7088
   -9.300     0.000  -0.585775   0.009173   0.006968   0.016141   0.000000   0.000000   0.100445   0.000000   0.000000   10.0000     0.7040
   -9.200     0.000  -0.576509   0.008885   0.006940   0.015826   0.000000   0.000000   0.098209   0.000000   0.000000   10.0000     0.6989
   -9.100     0.000  -0.567241   0.008603   0.006912   0.015515   0.000000   0.000000   0.095973   0.000000   0.000000   10.0000     0.6938
   -9.000     0.000  -0.557969   0.008325   0.006882   0.015207   0.000000  -0.000000   0.093736   0.000000   0.000000   10.0000     0.6885
   -8.900     0.000  -0.548687   0.008051   0.006851   0.014902   0.000000   0.000000   0.091494  -0.000000  -0.000000   10.0000     0.6828
   -8.800     0.000  -0.539398   0.007781   0.006821   0.014602   0.000000   0.000000   0.089249   0.000000   0.000000   10.0000     0.6770
   -8.700     0.000  -0.530107   0.007516   0.006790   0.014307   0.000000  -0.000000   0.087004   0.000000   0.000000   10.0000     0.6712
   -8.600     0.000  -0.520802   0.007255   0.006762   0.014018   0.000000   0.000000   0.084754   0.000000   0.000000   10.0000     0.6649
   -8.500     0.000  -0.511486   0.006999   0.006736   0.013735   0.000000   0.000000   0.082500   0.000000   0.000000   10.0000     0.6585
   -8.400     0.000  -0.502132   0.006747   0.006716   0.013463   0.000000   0.000000   0.080233   0.000000   0.000000   10.0000     0.6515
   -8.300     0.000  -0.492794   0.006500   0.006700   0.013200   0.000000   0.000000   0.077976   0.000000   0.000000   10.0000     0.6443
   -8.200     0.000  -0.483458   0.006258   0.006683   0.012941   0.000000   0.000000   0.075720   0.000000   0.000000   10.0000     0.6370
   -8.100     0.000  -0.474125   0.006021   0.006666   0.012687   0.000000   0.000000   0.073466   0.000000   0.000000   10.0000     0.6297
   -8.000     0.000  -0.464791   0.005788   0.006649   0.012437   0.000000   0.000000   0.071211   0.000000   0.000000   10.0000     0.6220
   -7.900     0.000  -0.455478   0.005561   0.006631   0.012192   0.000000   0.000000   0.068967   0.000000   0.000000   10.0000     0.6137
   -7.800     0.000  -0.446183   0.005338   0.006611   0.011949   0.000000   0.000000   0.066731   0.000000   0.000000   10.0000     0.6048
   -7.700     0.000  -0.436881   0.005120   0.006591   0.011711   0.000000   0.000000   0.064492   0.000000   0.000000   10.0000     0.5957
   -7.600     0.000  -0.427573   0.004906   0.006572   0.011479   0.000000   0.000000   0.062250   0.000000   0.000000   10.0000     0.5865
   -7.500     0.000  -0.418230   0.004696   0.006553   0.011248   0.000000   0.000000   0.059991   0.000000   0.000000   10.0000     0.5767
   -7.400     0.000  -0.408877   0.004489   0.006535   0.011025   0.000000   0.000000   0.057728   0.000000   0.000000   10.0000     0.5665
   -7.300     0.000  -0.399489   0.004288   0.006523   0.010811   0.000000   0.000000   0.055453   0.000000   0.000000   10.0000     0.5549
   -7.200     0.000  -0.390167   0.004091   0.006516   0.010607   0.000000   0.000000   0.053204   0.000000   0.000000   10.0000     0.5432
   -7.100     0.000  -0.380845   0.003900   0.006511   0.010411   0.000000   0.000000   0.050961   0.000000   0.000000   10.0000     0.5313
   -7.000     0.000  -0.371533   0.003714   0.006506   0.010221   0.000000   0.000000   0.048724   0.000000  -0.000000   10.0000     0.5192
   -6.900     0.000  -0.362252   0.003534   0.006503   0.010037   0.000000   0.000000   0.046502   0.000000  -0.000000   10.0000     0.5069
   -6.800     0.000  -0.353051   0.003359   0.006502   0.009862   0.000000   0.000000   0.044317   0.000000   0.000000   10.0000     0.4938
   -6.700     0.000  -0.343991   0.003193   0.006512   0.009705   0.000000   0.000000   0.042203   0.000000   0.000000   10.0000     0.4799
   -6.600     0.000  -0.334904   0.003031   0.006520   0.009551   0.000000   0.000000   0.040080   0.000000   0.000000   10.0000     0.4656
   -6.500     0.000  -0.325903   0.002872   0.006530   0.009402   0.000000   0.000000   0.037981   0.000000  -0.000000   10.0000     0.4509
   -6.400     0.000  -0.316967   0.002718   0.006547   0.009265   0.000000   0.000000   0.035916   0.000000  -0.000000   10.0000     0.4364
   -6.300     0.000  -0.308210   0.002571   0.006577   0.009148   0.000000   0.000000   0.033932   0.000000  -0.000000   10.0000     0.4219
   -6.200     0.000  -0.299909   0.002433   0.006640   0.009073   0.000000   0.000000   0.032151   0.000000   0.000000   10.0000     0.4076
   -6.100     0.000  -0.291631   0.002297   0.006705   0.009002   0.000000   0.000000   0.030374   0.000000   0.000000   10.0000     0.3923
   -6.000     0.000  -0.283306   0.002167   0.006770   0.008937   0.000000   0.000000   0.028587   0.000000   0.000000   10.0000     0.3771
   -5.900     0.000  -0.274929   0.002038   0.006830   0.008868   0.000000   0.000000   0.026767   0.000000   0.000000   10.0000     0.3607
   -5.800     0.000  -0.266405   0.001913   0.006884   0.008797   0.000000   0.000000   0.024890   0.000000   0.000000   10.0000     0.3421
   -5.700     0.000  -0.257519   0.001788   0.006919   0.008706   0.000000   0.000000   0.022848   0.000000   0.000000   10.0000     0.3177
   -5.600     0.000  -0.248394   0.001664   0.006941   0.008605   0.000000   0.000000   0.020697   0.000000   0.000000   10.0000     0.2900
   -5.500     0.000  -0.239274   0.001545   0.006962   0.008507   0.000000   0.000000   0.018546   0.000000   0.000000   10.0000     0.2614
   -5.400     0.000  -0.230154   0.001430   0.006982   0.008412   0.000000   0.000000   0.016395   0.000000   0.000000   10.0000     0.2324
   -5.300     0.000  -0.221029   0.001320   0.007001   0.008320   0.000000   0.000000   0.014241   0.000000   0.000000   10.0000     0.2017
