xflr5 v6.61

Plane name :        AeroSail 30m 1deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.860710   0.019670   0.007518   0.027188   0.000000   0.000000   0.196814   0.000000   0.000000   10.0000     0.9693
   -9.900     0.000  -0.849960   0.019195   0.007459   0.026654   0.000000   0.000000   0.193831   0.000000  -0.000000   10.0000     0.9669
   -9.800     0.000  -0.839315   0.018732   0.007405   0.026137   0.000000   0.000000   0.190909   0.000000   0.000000   10.0000     0.9646
   -9.700     0.000  -0.828781   0.018279   0.007356   0.025635   0.000000   0.000000   0.188048   0.000000   0.000000   10.0000     0.9624
   -9.600     0.000  -0.818288   0.017833   0.007309   0.025142   0.000000   0.000000   0.185210   0.000000   0.000000   10.0000     0.9602
   -9.500     0.000  -0.807938   0.017397   0.007262   0.024659   0.000000   0.000000   0.182441   0.000000   0.000000   10.0000     0.9581
   -9.400     0.000  -0.797668   0.016969   0.007214   0.024184   0.000000   0.000000   0.179713   0.000000   0.000000   10.0000     0.9562
   -9.300     0.000  -0.787511   0.016549   0.007168   0.023718   0.000000   0.000000   0.177041   0.000000   0.000000   10.0000     0.9544
   -9.200     0.000  -0.777555   0.016136   0.007124   0.023260   0.000000   0.000000   0.174462   0.000000   0.000000   10.0000     0.9528
   -9.100     0.000  -0.768299   0.015760   0.007081   0.022841   0.000000   0.000000   0.172247   0.000000  -0.000000   10.0000     0.9523
   -9.000     0.000  -0.759039   0.015385   0.007040   0.022425   0.000000   0.000000   0.170025   0.000000   0.000000   10.0000     0.9518
   -8.900     0.000  -0.749585   0.015008   0.007002   0.022011   0.000000   0.000000   0.167710  -0.000000  -0.000000   10.0000     0.9509
   -8.800     0.000  -0.740043   0.014633   0.006967   0.021600   0.000000   0.000000   0.165350   0.000000   0.000000   10.0000     0.9498
   -8.700     0.000  -0.730236   0.014255   0.006938   0.021193   0.000000   0.000000   0.162865   0.000000  -0.000000   10.0000     0.9483
   -8.600     0.000  -0.720138   0.013879   0.006923   0.020802   0.000000   0.000000   0.160246   0.000000   0.000000   10.0000     0.9462
   -8.500     0.000  -0.709843   0.013503   0.006912   0.020415   0.000000   0.000000   0.157533   0.000000   0.000000   10.0000     0.9437
   -8.400     0.000  -0.699561   0.013132   0.006902   0.020034   0.000000   0.000000   0.154826  -0.000000  -0.000000   10.0000     0.9413
   -8.300     0.000  -0.689668   0.012776   0.006895   0.019671   0.000000   0.000000   0.152304   0.000000   0.000000   10.0000     0.9395
   -8.200     0.000  -0.679941   0.012431   0.006890   0.019322   0.000000   0.000000   0.149865   0.000000   0.000000   10.0000     0.9379
   -8.100     0.000  -0.670676   0.012102   0.006890   0.018991   0.000000   0.000000   0.147647   0.000000   0.000000   10.0000     0.9372
   -8.000     0.000  -0.662311   0.011792   0.006895   0.018687   0.000000   0.000000   0.145852   0.000000  -0.000000   10.0000     0.9378
   -7.900     0.000  -0.653964   0.011491   0.006901   0.018392   0.000000   0.000000   0.144075   0.000000   0.000000   10.0000     0.9385
   -7.800     0.000  -0.645570   0.011194   0.006906   0.018100   0.000000   0.000000   0.142277  -0.000000  -0.000000   10.0000     0.9392
   -7.700     0.000  -0.637151   0.010900   0.006912   0.017812   0.000000   0.000000   0.140468   0.000000   0.000000   10.0000     0.9398
   -7.600     0.000  -0.628634   0.010612   0.006917   0.017528   0.000000   0.000000   0.138619   0.000000   0.000000   10.0000     0.9403
   -7.500     0.000  -0.619989   0.010322   0.006919   0.017241   0.000000   0.000000   0.136702   0.000000   0.000000   10.0000     0.9405
   -7.400     0.000  -0.611282   0.010033   0.006920   0.016953   0.000000   0.000000   0.134752   0.000000   0.000000   10.0000     0.9405
   -7.300     0.000  -0.602589   0.009749   0.006924   0.016673   0.000000   0.000000   0.132808   0.000000   0.000000   10.0000     0.9406
   -7.200     0.000  -0.593875   0.009468   0.006928   0.016397   0.000000   0.000000   0.130853   0.000000   0.000000   10.0000     0.9406
   -7.100     0.000  -0.585150   0.009191   0.006932   0.016124   0.000000   0.000000   0.128893   0.000000   0.000000   10.0000     0.9405
   -7.000     0.000  -0.576391   0.008918   0.006936   0.015854   0.000000   0.000000   0.126915   0.000000   0.000000   10.0000     0.9404
   -6.900     0.000  -0.567593   0.008648   0.006942   0.015590   0.000000   0.000000   0.124919   0.000000   0.000000   10.0000     0.9402
   -6.800     0.000  -0.558795   0.008382   0.006949   0.015331   0.000000   0.000000   0.122921   0.000000   0.000000   10.0000     0.9399
   -6.700     0.000  -0.549983   0.008119   0.006956   0.015075   0.000000   0.000000   0.120917   0.000000   0.000000   10.0000     0.9396
   -6.600     0.000  -0.541178   0.007861   0.006965   0.014826   0.000000   0.000000   0.118915   0.000000  -0.000000   10.0000     0.9393
   -6.500     0.000  -0.532393   0.007607   0.006980   0.014587   0.000000   0.000000   0.116923   0.000000  -0.000000   10.0000     0.9390
   -6.400     0.000  -0.523645   0.007358   0.007006   0.014364   0.000000   0.000000   0.114947   0.000000  -0.000000   10.0000     0.9387
   -6.300     0.000  -0.514883   0.007113   0.007031   0.014144   0.000000   0.000000   0.112963   0.000000   0.000000   10.0000     0.9384
   -6.200     0.000  -0.506118   0.006871   0.007056   0.013927   0.000000   0.000000   0.110979   0.000000   0.000000   10.0000     0.9381
   -6.100     0.000  -0.497321   0.006633   0.007078   0.013711   0.000000   0.000000   0.108979   0.000000   0.000000   10.0000     0.9376
   -6.000     0.000  -0.488488   0.006399   0.007097   0.013495   0.000000   0.000000   0.106962   0.000000   0.000000   10.0000     0.9370
   -5.900     0.000  -0.479589   0.006167   0.007107   0.013274   0.000000   0.000000   0.104913   0.000000   0.000000   10.0000     0.9362
   -5.800     0.000  -0.470637   0.005939   0.007111   0.013050   0.000000   0.000000   0.102839   0.000000   0.000000   10.0000     0.9353
   -5.700     0.000  -0.461665   0.005714   0.007115   0.012830   0.000000   0.000000   0.100756   0.000000  -0.000000   10.0000     0.9342
   -5.600     0.000  -0.452693   0.005494   0.007120   0.012614   0.000000   0.000000   0.098672   0.000000   0.000000   10.0000     0.9331
   -5.500     0.000  -0.443693   0.005277   0.007125   0.012402   0.000000   0.000000   0.096577   0.000000  -0.000000   10.0000     0.9319
   -5.400     0.000  -0.434648   0.005064   0.007131   0.012195   0.000000   0.000000   0.094461   0.000000  -0.000000   10.0000     0.9305
