xflr5 v6.61

Plane name :        AeroSail 30m 18deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.311412   0.002534   0.007078   0.009612   0.000000  -0.000000  -0.250300   0.000000   0.000000   10.0000     3.7455
   -9.900     0.000   0.321087   0.002695   0.007041   0.009735   0.000000  -0.000000  -0.252740   0.000000   0.000000   10.0000     3.6674
   -9.800     0.000   0.330763   0.002860   0.007003   0.009863   0.000000  -0.000000  -0.255180   0.000000   0.000000   10.0000     3.5899
   -9.700     0.000   0.340437   0.003031   0.006965   0.009996   0.000000  -0.000000  -0.257620   0.000000   0.000000   10.0000     3.5138
   -9.600     0.000   0.350111   0.003207   0.006925   0.010132   0.000000  -0.000000  -0.260057   0.000000   0.000000   10.0000     3.4465
   -9.500     0.000   0.359785   0.003388   0.006884   0.010271   0.000000  -0.000000  -0.262493   0.000000   0.000000   10.0000     3.3835
   -9.400     0.000   0.369457   0.003573   0.006842   0.010415   0.000000  -0.000000  -0.264929   0.000000  -0.000000   10.0000     3.3225
   -9.300     0.000   0.379129   0.003764   0.006799   0.010563   0.000000  -0.000000  -0.267363   0.000000   0.000000   10.0000     3.2645
   -9.200     0.000   0.388798   0.003959   0.006756   0.010716   0.000000  -0.000000  -0.269796   0.000000   0.000000   10.0000     3.2085
   -9.100     0.000   0.398468   0.004160   0.006716   0.010876   0.000000  -0.000000  -0.272229   0.000000   0.000000   10.0000     3.1556
   -9.000     0.000   0.408143   0.004365   0.006681   0.011046   0.000000  -0.000000  -0.274662   0.000000   0.000000   10.0000     3.1086
   -8.900     0.000   0.417818   0.004576   0.006648   0.011224   0.000000  -0.000000  -0.277094   0.000000   0.000000   10.0000     3.0633
   -8.800     0.000   0.427492   0.004791   0.006616   0.011407   0.000000  -0.000000  -0.279525   0.000000  -0.000000   10.0000     3.0187
   -8.700     0.000   0.437166   0.005011   0.006586   0.011597   0.000000  -0.000000  -0.281956   0.000000  -0.000000   10.0000     2.9753
   -8.600     0.000   0.446836   0.005236   0.006555   0.011792   0.000000  -0.000000  -0.284385   0.000000   0.000000   10.0000     2.9323
   -8.500     0.000   0.456501   0.005467   0.006524   0.011990   0.000000  -0.000000  -0.286810   0.000000   0.000000   10.0000     2.8930
   -8.400     0.000   0.466168   0.005702   0.006492   0.012194   0.000000  -0.000000  -0.289234   0.000000   0.000000   10.0000     2.8562
   -8.300     0.000   0.475626   0.005939   0.006472   0.012411   0.000000  -0.000000  -0.291563   0.000000   0.000000   10.0000     2.8210
   -8.200     0.000   0.484947   0.006178   0.006459   0.012637   0.000000  -0.000000  -0.293830   0.000000   0.000000   10.0000     2.7865
   -8.100     0.000   0.494222   0.006420   0.006448   0.012869   0.000000  -0.000000  -0.296075   0.000000  -0.000000   10.0000     2.7531
   -8.000     0.000   0.502492   0.006655   0.006482   0.013136   0.000000  -0.000000  -0.297873   0.000000   0.000000   10.0000     2.7222
   -7.900     0.000   0.509341   0.006867   0.006581   0.013449   0.000000  -0.000000  -0.299022   0.000000   0.000000   10.0000     2.6944
   -7.800     0.000   0.515700   0.007070   0.006706   0.013776   0.000000  -0.000000  -0.299940   0.000000  -0.000000   10.0000     2.6679
   -7.700     0.000   0.521526   0.007263   0.006855   0.014118   0.000000  -0.000000  -0.300612   0.000000   0.000000   10.0000     2.6435
   -7.600     0.000   0.527352   0.007453   0.007008   0.014461   0.000000  -0.000000  -0.301272   0.000000   0.000000   10.0000     2.6192
   -7.500     0.000   0.533292   0.007644   0.007151   0.014795   0.000000  -0.000000  -0.301977   0.000000  -0.000000   10.0000     2.5952
   -7.400     0.000   0.539535   0.007838   0.007273   0.015111   0.000000  -0.000000  -0.302811   0.000000   0.000000   10.0000     2.5717
   -7.300     0.000   0.545968   0.008038   0.007383   0.015421   0.000000  -0.000000  -0.303732   0.000000  -0.000000   10.0000     2.5483
   -7.200     0.000   0.552690   0.008249   0.007476   0.015725   0.000000  -0.000000  -0.304783   0.000000  -0.000000   10.0000     2.5252
   -7.100     0.000   0.559412   0.008463   0.007569   0.016031   0.000000   0.000000  -0.305835   0.000000  -0.000000   10.0000     2.5023
   -7.000     0.000   0.566056   0.008665   0.007666   0.016332   0.000000  -0.000000  -0.306829   0.000000   0.000000   10.0000     2.4800
   -6.900     0.000   0.572980   0.008878   0.007748   0.016627   0.000000  -0.000000  -0.307955   0.000000   0.000000   10.0000     2.4586
   -6.800     0.000   0.580074   0.009100   0.007822   0.016922   0.000000  -0.000000  -0.309159   0.000000   0.000000   10.0000     2.4376
   -6.700     0.000   0.587227   0.009329   0.007891   0.017220   0.000000  -0.000000  -0.310397   0.000000   0.000000   10.0000     2.4168
   -6.600     0.000   0.594460   0.009563   0.007957   0.017519   0.000000  -0.000000  -0.311668   0.000000   0.000000   10.0000     2.3962
   -6.500     0.000   0.601860   0.009806   0.008011   0.017817   0.000000   0.000000  -0.313018   0.000000  -0.000000   10.0000     2.3757
   -6.400     0.000   0.609283   0.010056   0.008058   0.018114   0.000000  -0.000000  -0.314378   0.000000  -0.000000   10.0000     2.3562
   -6.300     0.000   0.616695   0.010308   0.008102   0.018410   0.000000  -0.000000  -0.315732   0.000000  -0.000000   10.0000     2.3370
   -6.200     0.000   0.623920   0.010573   0.008149   0.018721   0.000000  -0.000000  -0.317031   0.000000   0.000000   10.0000     2.3186
   -6.100     0.000   0.631102   0.010803   0.008209   0.019011   0.000000  -0.000000  -0.318240   0.000000   0.000000   10.0000     2.3002
   -6.000     0.000   0.638251   0.011045   0.008266   0.019311   0.000000  -0.000000  -0.319454   0.000000   0.000000   10.0000     2.2824
   -5.900     0.000   0.645253   0.011290   0.008320   0.019609   0.000000  -0.000000  -0.320599   0.000000   0.000000   10.0000     2.2649
   -5.800     0.000   0.651942   0.011533   0.008370   0.019903   0.000000  -0.000000  -0.321601   0.000000   0.000000   10.0000     2.2483
   -5.700     0.000   0.658589   0.011772   0.008417   0.020189   0.000000  -0.000000  -0.322566   0.000000  -0.000000   10.0000     2.2318
   -5.600     0.000   0.665228   0.012028   0.008454   0.020482   0.000000  -0.000000  -0.323551   0.000000  -0.000000   10.0000     2.2157
   -5.500     0.000   0.671805   0.012280   0.008490   0.020771   0.000000   0.000000  -0.324497   0.000000  -0.000000   10.0000     2.1997
   -5.400     0.000   0.678345   0.012531   0.008527   0.021058   0.000000  -0.000000  -0.325418   0.000000  -0.000000   10.0000     2.1838
   -5.300     0.000   0.684655   0.012781   0.008567   0.021348   0.000000  -0.000000  -0.326238  -0.000000  -0.000000   10.0000     2.1686
