xflr5 v6.61

Plane name :        AeroSail 30m 12deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.103436   0.000293   0.006600   0.006893   0.000000   0.000000  -0.092381   0.000000  -0.000000   10.0000    -4.9105
   -9.900     0.000  -0.093836   0.000242   0.006572   0.006814   0.000000   0.000000  -0.094786   0.000000   0.000000   10.0000    -5.7453
   -9.800     0.000  -0.084236   0.000196   0.006544   0.006740   0.000000   0.000000  -0.097191   0.000000   0.000000   10.0000    -6.5980
   -9.700     0.000  -0.074636   0.000155   0.006517   0.006671   0.000000   0.000000  -0.099596   0.000000   0.000000   10.0000    -7.7032
   -9.600     0.000  -0.065035   0.000118   0.006490   0.006608   0.000000   0.000000  -0.102001   0.000000   0.000000   10.0000    -9.5442
   -9.500     0.000  -0.055428   0.000087   0.006467   0.006553   0.000000   0.000000  -0.104405   0.000000  -0.000000   10.0000   -16.4188
   -9.400     0.000  -0.045819   0.000060   0.006445   0.006505   0.000000  -0.000000  -0.106810   0.000000  -0.000000   10.0000   -25.0983
   -9.300     0.000  -0.036210   0.000038   0.006423   0.006461   0.000000  -0.000000  -0.109214   0.000000  -0.000000   10.0000   -33.7777
   -9.200     0.000  -0.026601   0.000021   0.006401   0.006423   0.000000   0.000000  -0.111619   0.000000   0.000000   10.0000   -42.4571
   -9.100     0.000  -0.016992   0.000009   0.006380   0.006389   0.000000   0.000000  -0.114023   0.000000   0.000000   10.0000   -51.0765
   -9.000     0.000  -0.007382   0.000002   0.006360   0.006362   0.000000   0.000000  -0.116427   0.000000   0.000000   10.0000   -55.7351
   -8.900     0.000   0.002235  -0.000000   0.006349   0.006349   0.000000  -0.000000  -0.118828   0.000000   0.000000   10.0000   -43.6164
   -8.800     0.000   0.011851   0.000003   0.006337   0.006340   0.000000   0.000000  -0.121230   0.000000  -0.000000   10.0000   -31.5128
   -8.700     0.000   0.021468   0.000010   0.006326   0.006336   0.000000   0.000000  -0.123631   0.000000  -0.000000   10.0000   -19.4042
   -8.600     0.000   0.031084   0.000023   0.006314   0.006337   0.000000  -0.000000  -0.126033   0.000000   0.000000   10.0000    -7.2953
   -8.500     0.000   0.040700   0.000040   0.006303   0.006343   0.000000  -0.000000  -0.128434   0.000000  -0.000000   10.0000     4.8138
   -8.400     0.000   0.050307   0.000062   0.006287   0.006349   0.000000   0.000000  -0.130831   0.000000  -0.000000   10.0000    10.8170
   -8.300     0.000   0.059905   0.000089   0.006268   0.006357   0.000000  -0.000000  -0.133224   0.000000   0.000000   10.0000    10.6174
   -8.200     0.000   0.069501   0.000121   0.006248   0.006369   0.000000   0.000000  -0.135617   0.000000  -0.000000   10.0000     9.8452
   -8.100     0.000   0.079098   0.000158   0.006228   0.006386   0.000000  -0.000000  -0.138010   0.000000   0.000000   10.0000     8.9081
   -8.000     0.000   0.088694   0.000200   0.006208   0.006407   0.000000   0.000000  -0.140402   0.000000  -0.000000   10.0000     7.8665
   -7.900     0.000   0.098298   0.000246   0.006187   0.006434   0.000000   0.000000  -0.142798   0.000000   0.000000   10.0000     6.8775
   -7.800     0.000   0.107972   0.000298   0.006167   0.006465   0.000000  -0.000000  -0.145220   0.000000   0.000000   10.0000     6.3997
   -7.700     0.000   0.117663   0.000355   0.006147   0.006502   0.000000   0.000000  -0.147648   0.000000   0.000000   10.0000     6.0478
   -7.600     0.000   0.127357   0.000416   0.006127   0.006543   0.000000  -0.000000  -0.150077   0.000000   0.000000   10.0000     5.7194
   -7.500     0.000   0.137055   0.000483   0.006106   0.006590   0.000000  -0.000000  -0.152509   0.000000  -0.000000   10.0000     5.3869
   -7.400     0.000   0.146753   0.000555   0.006086   0.006641   0.000000  -0.000000  -0.154941   0.000000   0.000000   10.0000     5.0544
   -7.300     0.000   0.155711   0.000628   0.006111   0.006740   0.000000   0.000000  -0.157040   0.000000  -0.000000   10.0000     4.7860
   -7.200     0.000   0.163785   0.000701   0.006191   0.006892   0.000000  -0.000000  -0.158743   0.000000   0.000000   10.0000     4.5989
   -7.100     0.000   0.171703   0.000776   0.006283   0.007059   0.000000  -0.000000  -0.160369   0.000000   0.000000   10.0000     4.4334
   -7.000     0.000   0.179556   0.000849   0.006387   0.007237   0.000000  -0.000000  -0.161937   0.000000  -0.000000   10.0000     4.2786
   -6.900     0.000   0.187347   0.000928   0.006491   0.007419   0.000000  -0.000000  -0.163492   0.000000   0.000000   10.0000     4.1249
   -6.800     0.000   0.195120   0.001011   0.006592   0.007602   0.000000   0.000000  -0.165044   0.000000   0.000000   10.0000     3.9809
   -6.700     0.000   0.203128   0.001096   0.006674   0.007770   0.000000  -0.000000  -0.166687   0.000000   0.000000   10.0000     3.8608
   -6.600     0.000   0.211197   0.001185   0.006749   0.007934   0.000000  -0.000000  -0.168360   0.000000   0.000000   10.0000     3.7472
   -6.500     0.000   0.219284   0.001278   0.006821   0.008100   0.000000  -0.000000  -0.170043   0.000000  -0.000000   10.0000     3.6357
   -6.400     0.000   0.227406   0.001376   0.006890   0.008266   0.000000  -0.000000  -0.171743   0.000000  -0.000000   10.0000     3.5275
   -6.300     0.000   0.235527   0.001477   0.006958   0.008435   0.000000  -0.000000  -0.173443   0.000000   0.000000   10.0000     3.4194
   -6.200     0.000   0.243902   0.001582   0.007015   0.008597   0.000000  -0.000000  -0.175243   0.000000   0.000000   10.0000     3.3284
   -6.100     0.000   0.252394   0.001693   0.007062   0.008755   0.000000  -0.000000  -0.177099   0.000000   0.000000   10.0000     3.2492
   -6.000     0.000   0.260939   0.001808   0.007106   0.008914   0.000000  -0.000000  -0.178980   0.000000   0.000000   10.0000     3.1740
   -5.900     0.000   0.269489   0.001928   0.007149   0.009077   0.000000  -0.000000  -0.180864   0.000000   0.000000   10.0000     3.1013
   -5.800     0.000   0.278082   0.002053   0.007189   0.009242   0.000000   0.000000  -0.182768   0.000000   0.000000   10.0000     3.0321
   -5.700     0.000   0.286699   0.002181   0.007229   0.009410   0.000000  -0.000000  -0.184681   0.000000   0.000000   10.0000     2.9669
   -5.600     0.000   0.295361   0.002314   0.007266   0.009581   0.000000  -0.000000  -0.186613   0.000000   0.000000   10.0000     2.9090
   -5.500     0.000   0.304040   0.002452   0.007303   0.009755   0.000000   0.000000  -0.188552   0.000000   0.000000   10.0000     2.8535
   -5.400     0.000   0.312761   0.002594   0.007337   0.009932   0.000000  -0.000000  -0.190511   0.000000   0.000000   10.0000     2.8022
   -5.300     0.000   0.321485   0.002741   0.007370   0.010112   0.000000  -0.000000  -0.192473   0.000000   0.000000   10.0000     2.7513
   -5.200     0.000   0.330219   0.002893   0.007403   0.010295   0.000000  -0.000000  -0.194439   0.000000  -0.000000   10.0000     2.7021
   -5.100     0.000   0.338993   0.003048   0.007429   0.010478   0.000000  -0.000000  -0.196421   0.000000  -0.000000   10.0000     2.6600
   -5.000     0.000   0.347784   0.003208   0.007453   0.010662   0.000000  -0.000000  -0.198410   0.000000   0.000000   10.0000     2.6208
   -4.900     0.000   0.356581   0.003373   0.007477   0.010849   0.000000  -0.000000  -0.200402   0.000000   0.000000   10.0000     2.5828
   -4.800     0.000   0.365387   0.003541   0.007498   0.011039   0.000000  -0.000000  -0.202398   0.000000   0.000000   10.0000     2.5464
   -4.700     0.000   0.374197   0.003714   0.007520   0.011234   0.000000  -0.000000  -0.204396   0.000000   0.000000   10.0000     2.5107
   -4.600     0.000   0.383015   0.003891   0.007540   0.011432   0.000000  -0.000000  -0.206398   0.000000  -0.000000   10.0000     2.4761
   -4.500     0.000   0.391846   0.004073   0.007559   0.011632   0.000000  -0.000000  -0.208406   0.000000  -0.000000   10.0000     2.4428
   -4.400     0.000   0.400678   0.004260   0.007578   0.011837   0.000000  -0.000000  -0.210414   0.000000   0.000000   10.0000     2.4097
   -4.300     0.000   0.409510   0.004450   0.007597   0.012047   0.000000  -0.000000  -0.212423   0.000000   0.000000   10.0000     2.3765
   -4.200     0.000   0.418335   0.004644   0.007617   0.012261   0.000000  -0.000000  -0.214426   0.000000   0.000000   10.0000     2.3439
   -4.100     0.000   0.427162   0.004842   0.007637   0.012479   0.000000  -0.000000  -0.216429   0.000000   0.000000   10.0000     2.3122
   -4.000     0.000   0.436004   0.005045   0.007657   0.012701   0.000000  -0.000000  -0.218436   0.000000  -0.000000   10.0000     2.2847
   -3.900     0.000   0.444850   0.005252   0.007677   0.012928   0.000000  -0.000000  -0.220444   0.000000   0.000000   10.0000     2.2586
   -3.800     0.000   0.453699   0.005463   0.007697   0.013160   0.000000  -0.000000  -0.222453   0.000000   0.000000   10.0000     2.2335
   -3.700     0.000   0.462551   0.005678   0.007717   0.013395   0.000000  -0.000000  -0.224462   0.000000   0.000000   10.0000     2.2089
   -3.600     0.000   0.471405   0.005898   0.007737   0.013635   0.000000   0.000000  -0.226473   0.000000  -0.000000   10.0000     2.1851
   -3.500     0.000   0.480175   0.006121   0.007759   0.013879   0.000000  -0.000000  -0.228445   0.000000   0.000000   10.0000     2.1627
   -3.400     0.000   0.488883   0.006346   0.007781   0.014128   0.000000  -0.000000  -0.230387   0.000000   0.000000   10.0000     2.1411
   -3.300     0.000   0.497566   0.006575   0.007805   0.014380   0.000000  -0.000000  -0.232317   0.000000   0.000000   10.0000     2.1208
   -3.200     0.000   0.506234   0.006808   0.007828   0.014636   0.000000  -0.000000  -0.234240   0.000000   0.000000   10.0000     2.1006
   -3.100     0.000   0.514890   0.007045   0.007852   0.014896   0.000000  -0.000000  -0.236157   0.000000  -0.000000   10.0000     2.0807
   -3.000     0.000   0.523554   0.007285   0.007874   0.015159   0.000000  -0.000000  -0.238077   0.000000  -0.000000   10.0000     2.0614
   -2.900     0.000   0.532280   0.007530   0.007893   0.015423   0.000000  -0.000000  -0.240024   0.000000   0.000000   10.0000     2.0433
   -2.800     0.000   0.541027   0.007780   0.007910   0.015691   0.000000  -0.000000  -0.241982   0.000000   0.000000   10.0000     2.0258
   -2.700     0.000   0.549782   0.008035   0.007926   0.015961   0.000000  -0.000000  -0.243943   0.000000   0.000000   10.0000     2.0090
   -2.600     0.000   0.558532   0.008293   0.007942   0.016235   0.000000  -0.000000  -0.245900   0.000000   0.000000   10.0000     1.9927
   -2.500     0.000   0.567289   0.008555   0.007958   0.016513   0.000000  -0.000000  -0.247862   0.000000   0.000000   10.0000     1.9766
   -2.400     0.000   0.575945   0.008821   0.007977   0.016797   0.000000  -0.000000  -0.249775   0.000000   0.000000   10.0000     1.9615
   -2.300     0.000   0.584544   0.009088   0.007998   0.017087   0.000000  -0.000000  -0.251663   0.000000   0.000000   10.0000     1.9467
   -2.200     0.000   0.593121   0.009360   0.008020   0.017380   0.000000  -0.000000  -0.253538   0.000000   0.000000   10.0000     1.9321
   -2.100     0.000   0.601675   0.009634   0.008043   0.017678   0.000000   0.000000  -0.255404   0.000000  -0.000000   10.0000     1.9178
   -2.000     0.000   0.610211   0.009915   0.008066   0.017981   0.000000  -0.000000  -0.257267   0.000000   0.000000   10.0000     1.9037
   -1.900     0.000   0.618740   0.010194   0.008089   0.018283   0.000000  -0.000000  -0.259113   0.000000   0.000000   10.0000     1.8903
