xflr5 v6.61

Plane name :        AeroSail 30m 8deg flap UPDATED
Polar name :        T1-10.0 m/s-LLT
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.380388   0.003870   0.006764   0.010635   0.000000   0.000000   0.013367   0.000000   0.000000   10.0000     0.0525
   -9.900     0.000  -0.370917   0.003681   0.006736   0.010417   0.000000   0.000000   0.011024   0.000000   0.000000   10.0000     0.0279
   -9.800     0.000  -0.361439   0.003496   0.006709   0.010205   0.000000   0.000000   0.008678   0.000000   0.000000   10.0000     0.0008
   -9.700     0.000  -0.351953   0.003315   0.006684   0.009999   0.000000   0.000000   0.006330   0.000000  -0.000000   10.0000    -0.0286
   -9.600     0.000  -0.342467   0.003140   0.006658   0.009798   0.000000   0.000000   0.003982   0.000000   0.000000   10.0000    -0.0585
   -9.500     0.000  -0.332972   0.002969   0.006633   0.009602   0.000000   0.000000   0.001630   0.000000   0.000000   10.0000    -0.0907
   -9.400     0.000  -0.323474   0.002802   0.006608   0.009411   0.000000   0.000000  -0.000722   0.000000   0.000000   10.0000    -0.1237
   -9.300     0.000  -0.313970   0.002641   0.006585   0.009226   0.000000   0.000000  -0.003076   0.000000   0.000000   10.0000    -0.1588
   -9.200     0.000  -0.304449   0.002484   0.006565   0.009048   0.000000   0.000000  -0.005435   0.000000  -0.000000   10.0000    -0.1989
   -9.100     0.000  -0.294919   0.002331   0.006544   0.008875   0.000000   0.000000  -0.007797   0.000000  -0.000000   10.0000    -0.2410
   -9.000     0.000  -0.285390   0.002184   0.006523   0.008707   0.000000  -0.000000  -0.010159   0.000000   0.000000   10.0000    -0.2844
   -8.900     0.000  -0.275852   0.002041   0.006502   0.008543   0.000000   0.000000  -0.012525   0.000000   0.000000   10.0000    -0.3299
   -8.800     0.000  -0.266301   0.001903   0.006480   0.008382   0.000000   0.000000  -0.014896   0.000000   0.000000   10.0000    -0.3791
   -8.700     0.000  -0.256713   0.001769   0.006454   0.008223   0.000000   0.000000  -0.017284   0.000000   0.000000   10.0000    -0.4373
   -8.600     0.000  -0.247106   0.001640   0.006425   0.008065   0.000000   0.000000  -0.019680   0.000000   0.000000   10.0000    -0.5019
   -8.500     0.000  -0.237495   0.001516   0.006397   0.007913   0.000000   0.000000  -0.022077   0.000000   0.000000   10.0000    -0.5683
   -8.400     0.000  -0.227883   0.001396   0.006370   0.007766   0.000000   0.000000  -0.024475   0.000000   0.000000   10.0000    -0.6362
   -8.300     0.000  -0.218262   0.001282   0.006344   0.007626   0.000000  -0.000000  -0.026876   0.000000   0.000000   10.0000    -0.7080
   -8.200     0.000  -0.208624   0.001172   0.006320   0.007492   0.000000   0.000000  -0.029283   0.000000   0.000000   10.0000    -0.7887
   -8.100     0.000  -0.198948   0.001067   0.006303   0.007370   0.000000   0.000000  -0.031703   0.000000   0.000000   10.0000    -0.8930
   -8.000     0.000  -0.189274   0.000967   0.006285   0.007252   0.000000   0.000000  -0.034121   0.000000  -0.000000   10.0000    -1.0003
