0.928 -0.229
0.925 -0.227
0.917 -0.219
0.904 -0.207
0.888 -0.191
0.868 -0.172
0.844 -0.151
0.815 -0.126
0.784 -0.098
0.750 -0.068
0.714 -0.036
0.675 -0.002
0.636 0.033
0.557 0.053
0.503 0.059
0.450 0.064
0.398 0.069
0.347 0.074
0.299 0.077
0.254 0.080
0.212 0.081
0.175 0.080
0.141 0.076
0.110 0.071
0.082 0.063
0.059 0.054
0.039 0.044
0.023 0.033
0.011 0.022
0.003 0.010
0.000 0.000
0.003 -0.010
0.011 -0.022
0.023 -0.033
0.039 -0.044
0.059 -0.054
0.082 -0.063
0.110 -0.071
0.141 -0.076
0.175 -0.080
0.212 -0.081
0.254 -0.080
0.299 -0.077
0.347 -0.074
0.398 -0.069
0.450 -0.064
0.503 -0.059
0.557 -0.053
0.611 -0.047
0.628 -0.070
0.672 -0.095
0.715 -0.118
0.755 -0.140
0.792 -0.159
0.825 -0.177
0.854 -0.193
0.878 -0.206
0.898 -0.215
0.898 -0.215
0.914 -0.223
0.924 -0.228
0.924 -0.228
0.924 -0.228
0.928 -0.229
