1.000 0.000
0.996 0.000
0.985 0.002
0.968 0.005
0.946 0.009
0.918 0.012
0.886 0.016
0.848 0.021
0.807 0.025
0.762 0.031
0.713 0.036
0.663 0.042
0.611 0.047
0.557 0.053
0.503 0.059
0.450 0.064
0.398 0.069
0.347 0.074
0.299 0.077
0.254 0.080
0.212 0.081
0.175 0.080
0.141 0.076
0.110 0.071
0.082 0.063
0.059 0.054
0.039 0.044
0.023 0.033
0.011 0.022
0.003 0.010
0.000 0.000
0.003 -0.010
0.011 -0.022
0.023 -0.033
0.039 -0.044
0.059 -0.054
0.082 -0.063
0.110 -0.071
0.141 -0.076
0.175 -0.080
0.212 -0.081
0.254 -0.080
0.299 -0.077
0.347 -0.074
0.398 -0.069
0.450 -0.064
0.503 -0.059
0.557 -0.053
0.611 -0.047
0.663 -0.042
0.713 -0.036
0.762 -0.031
0.807 -0.025
0.848 -0.021
0.886 -0.016
0.918 -0.012
0.946 -0.009
0.968 -0.005
0.968 -0.005
0.985 -0.002
0.996 -0.000
0.996 -0.000
0.996 -0.000
1.000 0.000
